########################################## 03/11/2014 23:42 ##########################################
Multilayer Perceptron Backpropagation - Matrices de orden 4
 ELEMENTOS DE ENTRENAMIENTO = 700
 ELEMENTOS DE VALIDACION = 105
 ELEMENTOS DE TEST = 300
------------------------------------------------------------------------------------------
 @ PERCEPTRON MULTICAPA 
   * UMBRAL DE ERROR : 0.01
   * NEURONAS DE ENTRADA : 6
   * NEURONAS OCULTAS    : 80
   * NEURONAS DE SALIDA  : 6
   * FACTOR DE APRENDIZAJE : 1.0E-4
   * MOMENTUM : 0.01
------------------------------------------------------------------------------------------
   Iteracion #466000 Error:0.0571296639557038
   Iteracion #467000 Error:0.05712437635008797
   Iteracion #468000 Error:0.05711908920860838
   Iteracion #469000 Error:0.05711380249719776
   Iteracion #470000 Error:0.057108516175021044
   Iteracion #471000 Error:0.057103230194423184
   Iteracion #472000 Error:0.05709794450088658
   Iteracion #473000 Error:0.057092659032998164
   Iteracion #474000 Error:0.05708737372242543
   Iteracion #475000 Error:0.057082088493902935
   Iteracion #476000 Error:0.057076803265227787
   Iteracion #477000 Error:0.0570715179472652
   Iteracion #478000 Error:0.05706623244396322
   Iteracion #479000 Error:0.05706094665237701
   Iteracion #480000 Error:0.05705566046270273
   Iteracion #481000 Error:0.057050373758320616
   Iteracion #482000 Error:0.05704508641584677
   Iteracion #483000 Error:0.05703979830519479
   Iteracion #484000 Error:0.05703450928964526
   Iteracion #485000 Error:0.05702921922592405
   Iteracion #486000 Error:0.05702392796428947
   Iteracion #487000 Error:0.057018635348627195
   Iteracion #488000 Error:0.05701334121655222
   Iteracion #489000 Error:0.05700804539952004
   Iteracion #490000 Error:0.057002747722943586
   Iteracion #491000 Error:0.056997448006317813
   Iteracion #492000 Error:0.05699214606335061
   Iteracion #493000 Error:0.05698684170210022
   Iteracion #494000 Error:0.056981534725118244
   Iteracion #495000 Error:0.05697622492959831
   Iteracion #496000 Error:0.05697091210752997
   Iteracion #497000 Error:0.05696559604585707
   Iteracion #498000 Error:0.056960276526640555
   Iteracion #499000 Error:0.0569549533272254
   Iteracion #500000 Error:0.0569496262204104
   Iteracion #501000 Error:0.056944294974621855
   Iteracion #502000 Error:0.05693895935408901
   Iteracion #503000 Error:0.05693361911902207
   Iteracion #504000 Error:0.05692827402579204
   Iteracion #505000 Error:0.05692292382711139
   Iteracion #506000 Error:0.05691756827221578
   Iteracion #507000 Error:0.05691220710704596
   Iteracion #508000 Error:0.056906840074429664
   Iteracion #509000 Error:0.056901466914263114
   Iteracion #510000 Error:0.056896087363690354
   Iteracion #511000 Error:0.056890701157282654
   Iteracion #512000 Error:0.056885308027215045
   Iteracion #513000 Error:0.05687990770344025
